iter	Passed	Remaining
846	26994	4876
847	27023	4843
848	27049	4810
849	27075	4777
850	27103	4745
851	27126	4712
852	27155	4679
853	27180	4646
854	27204	4613
855	27230	4580
856	27251	4547
857	27276	4514
858	27302	4481
859	27325	4448
860	27353	4415
861	27381	4383
862	27407	4350
863	27434	4318
864	27459	4285
865	27488	4253
866	27514	4220
867	27539	4188
868	27566	4155
869	27589	4122
870	27619	4090
871	27647	4058
872	27671	4025
873	27705	3994
874	27738	3962
875	27785	3933
876	27820	3901
877	27894	3876
878	27938	3845
879	27987	3816
880	28077	3792
881	28298	3785
882	28411	3764
883	28461	3734
884	28520	3706
885	28571	3676
886	28616	3645
887	28679	3617
888	28726	3586
889	28763	3555
890	28824	3526
891	28881	3496
892	28922	3465
893	28946	3432
894	28967	3398
895	28990	3365
896	29015	3331
897	29043	3298
898	29066	3265
899	29093	3232
900	29125	3200
901	29157	3167
902	29179	3134
903	29206	3101
904	29226	3067
905	29251	3034
906	29273	3001
907	29294	2968
908	29326	2935
909	29347	2902
910	29372	2869
911	29396	2836
912	29418	2803
913	29445	2770
914	29464	2737
915	29488	2704
916	29524	2672
917	29547	2639
918	29579	2607
919	29604	2574
920	29627	2541
921	29660	2509
922	29685	2476
923	29731	2445
924	29775	2414
925	29806	2381
926	29831	2349
927	29857	2316
928	29877	2283
929	29903	2250
930	29922	2217
931	29945	2184
932	29971	2152
933	29992	2119
934	30014	2086
935	30039	2053
936	30064	2021
937	30086	1988
938	30109	1955
939	30129	1923
940	30151	1890
941	30175	1857
942	30199	1825
943	30224	1792
944	30250	1760
945	30281	1728
946	30300	1695
947	30328	1663
948	30353	1631
949	30377	1598
950	30406	1566
951	30439	1534
952	30469	1502
953	30493	1470
954	30521	1438
955	30563	1406
956	30606	1375
957	30628	1342
958	30647	1310
959	30669	1277
960	30692	1245
961	30712	1213
962	30733	1180
963	30753	1148
964	30774	1116
965	30794	1083
966	30813	1051
967	30833	1019
968	30851	987
969	30873	954
970	30891	922
971	30911	890
972	30929	858
973	30949	826
974	30971	794
975	30992	762
976	31013	730
977	31031	698
978	31051	666
979	31075	634
980	31093	602
981	31112	570
982	31133	538
983	31152	506
984	31171	474
985	31191	442
986	31210	411
987	31229	379
988	31246	347
989	31264	315
990	31287	284
991	31304	252
992	31319	220
993	31339	189
994	31359	157
995	31376	126
996	31398	94
997	31415	62
998	31434	31
999	31453	0
3	32780	197
994	32798	164
995	32820	131
996	32849	98
997	32870	65
998	32893	32
999	32914	0
	2435
977	103531	2328
978	103610	2222
979	103686	2116
980	103750	2009
981	103809	1902
982	103869	1796
983	103930	1689
984	103975	1583
985	104039	1477
986	1984	104013	987	104158	1265
988	104226	1159
989	104290	1053
990	104342	947
991	104387	841
992	104437	736
993	104490	630
994	104542	525
995	104589	420
996	104638	314
997	104995	1046998	104996	1046999	104785	0
4701	209
998	104736	104
999	104781	0
